date,asset,type,quantity,price,note
2026-01-05,PETR4,buy,100,32.50,Compra inicial
2026-01-12,VALE3,buy,50,68.20,
2026-01-20,ITUB4,buy,80,27.10,
2026-02-02,PETR4,buy,50,33.80,Aporte mensal
2026-02-10,MXRF11,buy,200,10.15,FII
2026-02-18,VALE3,sell,20,71.40,Realização parcial
2026-02-25,ITUB4,buy,40,27.90,
2026-03-03,PETR4,buy,60,31.20,
2026-03-11,HGLG11,buy,30,160.00,FII logística
2026-03-19,MXRF11,buy,150,10.30,
2026-03-27,VALE3,buy,25,69.90,
2026-04-04,ITUB4,sell,30,29.50,
2026-04-12,PETR4,sell,40,35.00,
2026-04-20,HGLG11,buy,20,162.50,
2026-04-28,MXRF11,buy,100,10.05,
2026-05-06,VALE3,buy,35,66.70,
2026-05-14,ITUB4,buy,60,28.40,
2026-05-22,PETR4,buy,70,30.90,
2026-05-30,HGLG11,sell,10,165.00,
2026-06-07,MXRF11,buy,180,10.20,
2026-06-15,VALE3,buy,40,70.10,
2026-06-23,ITUB4,buy,50,29.00,
2026-07-01,PETR4,buy,90,34.10,Aporte trimestral
2026-07-09,HGLG11,buy,25,158.90,
2026-07-17,MXRF11,buy,120,10.10,
