Data,Descrição,Valor,Identificador
22/08/2026,Transferência enviada pelo Pix - JOAO P ALMEIDA,-75.00,a1b2c3d4-0822
27/08/2026,Rendimento poupança,18.44,a1b2c3d4-0827
29/08/2026,Tarifa mensal de pacote de serviços,-34.90,a1b2c3d4-0829
01/09/2026,Salário - ACME TECNOLOGIA LTDA,7450.00,a1b2c3d4-0901
03/09/2026,Aluguel - IMOBILIARIA CENTRAL,-2200.00,a1b2c3d4-0903
08/09/2026,Pagamento de fatura,-2965.18,a1b2c3d4-0908
12/09/2026,Transferência enviada pelo Pix - MERCADO SAO JORGE LTDA,-312.75,a1b2c3d4-0912
16/09/2026,Estorno de tarifa,34.90,a1b2c3d4-0916
21/09/2026,Transferência para Conta Poupança,-1500.00,a1b2c3d4-0921
30/09/2026,Rendimento poupança,21.07,a1b2c3d4-0930
