ID,Data,Tipo,Descrição,Ativo,Operação,Quantidade,Preço Unitário (R$),Valor (R$),Conta,Observações
1,05/01/2026,Despesa,Supermercado,,,,,"R$ 189,90",Cartão de Crédito,Compras do mês
2,08/01/2026,Gasto,Farmácia,,,,,"R$ 67,80",Cartão de Débito,Remédios
3,12/01/2026,Saída de caixa,Conta de luz,,,,,"R$ 245,30",Conta Corrente,Energia elétrica
4,16/01/2026,Compra,Cinema,,,,,"R$ 56,00",Cartão de Crédito,
5,22/01/2026,Despesa,Uber,,,,,"R$ 23,50",Cartão de Débito,
6,02/02/2026,Gasto,Consulta médica,,,,,"R$ 350,00",Cartão de Crédito,Cardiologista
7,10/02/2026,Saída de caixa,Internet,,,,,"R$ 99,90",Conta Corrente,
8,18/02/2026,Compra,Restaurante,,,,,"R$ 82,00",Cartão de Crédito,Almoço
9,25/02/2026,Despesa,Presente,,,,,"R$ 120,00",Cartão de Crédito,Aniversário de um amigo
10,05/01/2026,Receita,Salário,,,,,"R$ 7.500,00",Conta Corrente,Salário mensal
11,10/01/2026,Entrada,Projeto freelance,,,,,"R$ 1.200,00",Conta Corrente,Design de site
12,15/01/2026,Renda recebida,Dividendos,,,,,"R$ 340,50",Conta Investimento,
13,05/02/2026,Recebimento,Salário,,,,,"R$ 7.500,00",Conta Corrente,Salário mensal
14,12/02/2026,Receita,Consultoria,,,,,"R$ 2.000,00",Conta Corrente,Projeto pontual
15,20/02/2026,Entrada,Reembolso,,,,,"R$ 150,00",Conta Corrente,Reembolso de viagem
16,05/03/2026,Renda recebida,Salário,,,,,"R$ 7.500,00",Conta Corrente,Salário mensal
17,18/03/2026,Recebimento,Aluguel recebido,,,,,"R$ 1.800,00",Conta Corrente,
18,28/03/2026,Receita,Freelance - App mobile,,,,,"R$ 3.200,00",Conta Corrente,
19,06/01/2026,Renda Variável,,PETR4,Compra,100,"R$ 32,50",,Conta Investimento,Compra inicial
20,14/01/2026,Ação/Ativo,,VALE3,Compra,50,"R$ 68,20",,Conta Investimento,
21,28/01/2026,Operação em Bolsa,,ITUB4,Compra,80,"R$ 27,10",,Conta Investimento,
22,10/02/2026,Compra/Venda de Ativo,,PETR4,Compra,50,"R$ 33,80",,Conta Investimento,Aporte mensal
23,20/02/2026,Renda Variável,,VALE3,Venda,20,"R$ 71,40",,Conta Investimento,Realização parcial
24,05/03/2026,Ação/Ativo,,ITUB4,Compra,40,"R$ 27,90",,Conta Investimento,
25,15/03/2026,Operação em Bolsa,,PETR4,Compra,60,"R$ 31,20",,Conta Investimento,
26,25/03/2026,Compra/Venda de Ativo,,MXRF11,Compra,150,"R$ 10,30",,Conta Investimento,FII
27,02/04/2026,Renda Variável,,ITUB4,Venda,30,"R$ 29,50",,Conta Investimento,
28,08/01/2026,Renda Fixa,,Tesouro Selic 2029,Compra,10,"R$ 145,00",,Conta Investimento,
29,18/01/2026,Título Público/Privado,,CDB Banco XP 110% CDI,Compra,1,"R$ 5.000,00",,Conta Investimento,Aplicação inicial
30,01/02/2026,Aplicação RF,,LCI Banco Inter,Compra,1,"R$ 3.000,00",,Conta Investimento,
31,14/02/2026,Investimento em Renda Fixa,,Tesouro IPCA+ 2035,Compra,5,"R$ 210,00",,Conta Investimento,
32,26/02/2026,Renda Fixa,,CDB Banco XP 110% CDI,Compra,1,"R$ 2.000,00",,Conta Investimento,Aporte adicional
33,10/03/2026,Título Público/Privado,,Tesouro Selic 2029,Compra,8,"R$ 148,50",,Conta Investimento,
34,22/03/2026,Aplicação RF,,LCI Banco Inter,Venda,1,"R$ 3.150,00",,Conta Investimento,Resgate parcial
35,30/03/2026,Investimento em Renda Fixa,,Tesouro IPCA+ 2035,Compra,4,"R$ 215,00",,Conta Investimento,
36,05/01/2026,Aporte,Aplicação em ações,,,,,"R$ 500,00",Conta Corrente,
37,05/01/2026,Contribuição,Poupança para renda fixa,,,,,"R$ 800,00",Conta Corrente,
38,05/02/2026,Investimento Mensal,Reserva de emergência,,,,,"R$ 300,00",Conta Corrente,
39,05/02/2026,Depósito para Investimento,Aplicação em ações,,,,,"R$ 500,00",Conta Corrente,
40,05/03/2026,Aporte,Poupança para renda fixa,,,,,"R$ 900,00",Conta Corrente,
41,05/03/2026,Contribuição,Reserva de emergência,,,,,"R$ 300,00",Conta Corrente,
42,05/04/2026,Investimento Mensal,Aplicação em ações,,,,,"R$ 600,00",Conta Corrente,
43,05/04/2026,Depósito para Investimento,Poupança para renda fixa,,,,,"R$ 700,00",Conta Corrente,
44,05/04/2026,Aporte,Reserva de emergência,,,,,"R$ 250,00",Conta Corrente,
45,05/01/2026,Despesa,Supermercado,,,,,"R$ 189,90",Cartão de Crédito,Compras do mês
46,05/01/2026,Receita,Salário,,,,,"R$ 7.500,00",Conta Corrente,Salário mensal
47,05/01/2026,Aporte,Aplicação em ações,,,,,"R$ 500,00",Conta Corrente,
48,06/01/2026,Renda Variável,,PETR4,Compra,120,"R$ 33,00",,Conta Investimento,Confere quantidade com a corretora
49,12/01/2026,Saída de caixa,Conta de luz,,,,,"R$ 254,30",Conta Corrente,Energia elétrica
50,08/01/2026,Renda Fixa,,Tesouro Selic 2029,Compra,12,"R$ 145,00",,Conta Investimento,
51,32/13/2026,Despesa,Farmácia,,,,,"R$ 45,00",Cartão de Débito,
52,15/01/2026,Despesa,Mercado,,,,,"R$ ??,??",Cartão de Crédito,
