date,title,amount
2026-07-14,Supermercado Bom Preco,412.88
2026-07-16,Netflix,44.90
2026-07-18,Curso de idiomas 3/12,289.00
2026-07-19,Booking.com Reserva Hotel,1180.55
2026-07-19,IOF de compra internacional,53.12
2026-07-21,Uber Trip,27.40
2026-07-23,Livraria Cultura,318.00
2026-07-25,Estorno Livraria Cultura,-318.00
2026-07-26,Estorno de IOF,-53.12
2026-07-28,Padaria do Bairro,38.20
2026-07-30,Farmacia Sao Paulo,96.45
2026-08-02,Spotify,21.90
2026-08-04,Posto Ipiranga,240.00
2026-08-06,Amazon Marketplace,163.10
