Data,Descrição,Valor,Identificador
01/08/2026,Salário - ACME TECNOLOGIA LTDA,7450.00,a1b2c3d4-0801
03/08/2026,Aluguel - IMOBILIARIA CENTRAL,-2200.00,a1b2c3d4-0803
05/08/2026,Transferência para Conta Poupança,-1500.00,a1b2c3d4-0805
08/08/2026,Pagamento de fatura,-3187.42,a1b2c3d4-0808
11/08/2026,Transferência enviada pelo Pix - MERCADO SAO JORGE LTDA,-284.90,a1b2c3d4-0811
14/08/2026,Transferência recebida pelo Pix - MARIA S SANTANA,320.00,a1b2c3d4-0814
19/08/2026,Conta de luz - ENERGIA SP,-189.33,a1b2c3d4-0819
22/08/2026,Transferência enviada pelo Pix - JOAO P ALMEIDA,-75.00,a1b2c3d4-0822
27/08/2026,Rendimento poupança,18.44,a1b2c3d4-0827
29/08/2026,Tarifa mensal de pacote de serviços,-34.90,a1b2c3d4-0829
